,tpep_pickup_datetime,pickup_longitude,pickup_latitude,in_lat,in_lon
2813513,2016-02-10 20:14:08,-74.01112365722656,40.71586990356445,True,True
2813530,2016-02-10 20:14:10,-74.00881958007811,40.71601867675781,True,True
2813555,2016-02-10 20:14:13,-74.00955200195312,40.72132110595703,True,True
2813561,2016-02-10 20:14:14,-74.00557708740234,40.71788024902344,True,True
2813566,2016-02-10 20:14:14,-74.00514221191406,40.719104766845696,True,True
2813628,2016-02-10 20:14:23,-74.01028442382812,40.71905517578125,True,True
2813645,2016-02-10 20:14:26,-74.01000213623048,40.72078323364258,True,True
2813695,2016-02-10 20:14:33,-74.0045394897461,40.71546936035156,True,True
2813720,2016-02-10 20:14:36,-74.00988006591797,40.72090148925781,True,True
2813781,2016-02-10 20:14:42,-74.00525665283203,40.722999572753906,True,True
2813795,2016-02-10 20:14:44,-74.01063537597656,40.717098236083984,True,True
2813873,2016-02-10 20:14:54,-74.00468444824219,40.72384262084961,True,True
2813985,2016-02-10 20:15:08,-74.0079574584961,40.72259140014648,True,True
2814017,2016-02-10 20:15:14,-74.00454711914062,40.72138595581055,True,True
2814042,2016-02-10 20:15:18,-74.01126098632812,40.71490478515625,True,True
2814075,2016-02-10 20:15:21,-74.00801849365234,40.72265625,True,True
2814146,2016-02-10 20:15:30,-74.0078582763672,40.7171630859375,True,True
2814200,2016-02-10 20:15:37,-74.0052490234375,40.72079086303711,True,True
2814219,2016-02-10 20:15:40,-74.0049285888672,40.721641540527344,True,True
2814233,2016-02-10 20:15:42,-74.00912475585938,40.71553802490234,True,True
2814235,2016-02-10 20:15:43,-74.00857543945312,40.718914031982415,True,True
2814332,2016-02-10 20:15:55,-74.00501251220702,40.72055435180664,True,True
2814506,2016-02-10 20:16:21,-74.00414276123048,40.72185516357422,True,True
2814531,2016-02-10 20:16:24,-74.00376892089844,40.71721649169922,True,True
2814556,2016-02-10 20:16:28,-74.00801849365234,40.71499633789063,True,True
2814562,2016-02-10 20:16:29,-74.00845336914062,40.72006607055664,True,True
2814573,2016-02-10 20:16:31,-74.00386810302734,40.72409057617188,True,True
2814574,2016-02-10 20:16:31,-74.00835418701173,40.71657943725585,True,True
2814579,2016-02-10 20:16:32,-74.00322723388672,40.723411560058594,True,True
2814594,2016-02-10 20:16:34,-74.00933074951173,40.71838760375977,True,True
2814596,2016-02-10 20:16:34,-74.0051498413086,40.71991729736328,True,True
2814648,2016-02-10 20:16:40,-74.00861358642578,40.719886779785156,True,True
